Player,Nation,Team,Position,Age,Matches played,Starts,Minutes,Goals,Assists,Yellow Cards,Red Cards,Expected Goals,Expedted Assist Goals,Progressive Carries in Progression,Progressive Passes in Progression,Progressive Passes Received in Progression,Goals Scored per 90 minutes,Assists per 90 minutes,Expected Goals per 90 minutes,Expected Assists Goals per 90 minutes,Goals Against per 90 minutes,Save Percentage,Clean Sheets Percentage,Penalty Save Percentage,Percentage of shots that are on target,Shots on target per 90 minutes,Goals per shot,Average Shot Distance,Passes Completed,Pass Completion Percentage,Total Passing Distance,Passes Completion Percentage (Short),Passes Completion Percentage (Medium),Passes Completion Percentage (Long),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes in Expected,Shot-Creating Actions,Shot-Creating Actions per 90 minutes,Goal-Creating Actions,Goal-Creating Actions per 90 minutes,Tackles,Tackles Won,Dribblers Tackled,Dribbles Challenged,Blocks,Shots Blocked,Passes Blocked,Interceptions,Touches,Touches(Defensive Penalty Area),Touches(Defensive Third),Touches(Mid Third),Touches(Attacking Third),Touches(Attacking Penalty Area),Take-Ons Attempted(Take-Ons),Percentage of Take-Ons Completed Successfully,Tackled During Take-Ons Percentage,Carries,Progressive Carrying Distance,Progressive Carries in Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received in Receiving,Fouls Committed,Fouls Drawn,Offsides,Crosses,Ball Recoveries,Aerials Won,Aerials Lost,Aerials Won Percentage,Transfer Fee
Omar Marmoush,EGY,Manchester City,"FW,MF",26-084,12,11,916,6,0,0,0,4.7,1.7,20,26,63,0.59,0.0,0.46,0.17,N/a,N/a,N/a,N/a,44.4,1.57,0.17,18.1,192,78.4,2647,84.6,79.7,50.0,13,8,22,4,26,33,3.24,1,0.1,11,6,14,7,14,1,13,5,389,2,27,114,253,52,35,40.0,48.6,249,730,20,14,11,34,13,282,63,13,17,9,25,29,5,8,38.5,€79.1M
Orel Mangala,BEL,Everton,MF,27-045,19,14,"1,261",1,0,2,0,1.1,0.6,6,34,19,0.07,0.0,0.08,0.05,N/a,N/a,N/a,N/a,37.5,0.43,0.06,22.1,437,89.2,6998,90.5,94.9,76.7,8,50,8,1,34,24,1.72,1,0.07,16,8,8,3,8,3,5,21,621,22,133,335,157,13,24,58.3,37.5,298,576,6,6,3,12,12,406,19,24,17,2,6,49,6,8,42.9,€24.4M
Pape Matar Sarr,SEN,Tottenham,MF,22-230,32,18,"1,636",3,2,6,0,3.3,1.5,29,79,50,0.17,0.11,0.18,0.08,N/a,N/a,N/a,N/a,41.9,0.72,0.10,21.7,824,87.3,12681,91.4,90.4,72.9,14,82,10,2,79,40,2.2,6,0.33,42,30,23,12,23,9,14,24,1134,35,238,635,279,26,25,44.0,48.0,724,1760,29,31,5,26,21,812,50,28,31,2,14,105,24,36,40.0,€50.8M
Pau Torres,ESP,Aston Villa,DF,28-106,20,20,"1,729",0,0,1,0,0.5,0.1,33,74,4,0.0,0.0,0.03,0.0,N/a,N/a,N/a,N/a,25.0,0.1,0.00,11.7,1032,88.3,17916,94.7,93.1,51.2,2,93,7,0,74,12,0.62,2,0.1,20,14,15,6,14,10,4,9,1293,209,626,595,78,15,17,88.2,11.8,803,3503,33,20,0,3,3,923,4,6,7,0,1,53,16,22,42.1,€45.3M
Paul Onuachu,NGA,Southampton,FW,30-339,23,11,984,4,1,4,0,3.3,0.5,7,12,39,0.37,0.09,0.3,0.04,N/a,N/a,N/a,N/a,43.8,1.28,0.13,10.4,151,61.4,2135,63.8,61.3,63.2,8,13,2,0,12,9,0.82,1,0.09,7,2,7,4,6,1,5,1,410,15,41,220,152,60,25,28.0,56.0,198,237,7,5,2,46,33,336,39,26,15,9,0,17,88,54,62.0,€12.7M
Pedro Neto,POR,Chelsea,FW,25-054,31,20,"1,923",4,4,8,0,2.8,5.4,110,56,220,0.19,0.19,0.13,0.25,N/a,N/a,N/a,N/a,31.4,0.75,0.08,18.9,618,78.5,10072,92.8,81.3,47.8,42,28,33,21,56,83,3.88,7,0.33,21,9,18,11,12,2,10,8,1008,11,87,295,642,102,91,31.9,44.0,655,2841,110,51,38,39,24,734,220,18,29,3,131,70,10,26,27.8,€60.6M
Pedro Porro,ESP,Tottenham,DF,25-231,31,26,"2,463",2,6,4,0,1.5,4.0,63,147,106,0.07,0.22,0.06,0.15,N/a,N/a,N/a,N/a,21.6,0.29,0.05,23.1,1324,73.5,23083,87.5,79.3,44.2,54,120,55,26,147,104,3.8,8,0.29,63,46,73,31,44,17,27,34,2131,124,623,772,749,30,39,33.3,61.5,1132,2677,63,40,5,23,17,1229,106,24,30,1,191,148,11,22,33.3,€55.9M
Pervis Estupiñán,ECU,Brighton,DF,27-101,27,23,"2,132",1,1,5,0,0.9,2.1,55,115,104,0.04,0.04,0.04,0.09,N/a,N/a,N/a,N/a,31.8,0.3,0.05,25.1,1205,83.3,18325,93.5,83.2,50.0,24,94,31,18,115,50,2.11,4,0.17,54,36,44,15,16,2,14,30,1702,68,424,843,452,29,29,51.7,44.8,914,2355,55,53,9,30,25,1035,104,33,16,3,111,135,41,26,61.2,€37.1M
Phil Foden,ENG,Manchester City,"MF,FW",24-339,25,19,"1,686",7,2,2,0,5.1,4.7,47,95,119,0.37,0.11,0.27,0.25,N/a,N/a,N/a,N/a,30.8,0.85,0.13,18.5,742,84.0,11563,90.6,89.2,59.6,42,40,35,5,95,84,4.48,9,0.48,12,5,17,10,12,1,11,9,1074,13,81,374,628,79,39,33.3,53.8,676,1674,47,30,15,35,30,840,119,5,31,3,73,58,3,8,27.3,€105.7M
Rasmus Højlund,DEN,Manchester Utd,FW,22-087,29,20,"1,744",4,0,2,0,3.8,1.3,26,16,83,0.21,0.0,0.2,0.06,N/a,N/a,N/a,N/a,40.0,0.52,0.16,12.8,224,76.7,2426,82.9,71.7,80.0,14,12,5,1,16,30,1.55,1,0.05,3,1,4,4,5,0,5,1,447,6,31,223,201,58,29,31.0,62.1,275,625,26,13,16,57,27,352,83,15,26,11,6,30,23,82,21.9,€54.9M
