Player,Nation,Team,Position,Age,Matches played,Starts,Minutes,Goals,Assists,Yellow Cards,Red Cards,Expected Goals,Expedted Assist Goals,Progressive Carries in Progression,Progressive Passes in Progression,Progressive Passes Received in Progression,Goals Scored per 90 minutes,Assists per 90 minutes,Expected Goals per 90 minutes,Expected Assists Goals per 90 minutes,Goals Against per 90 minutes,Save Percentage,Clean Sheets Percentage,Penalty Save Percentage,Percentage of shots that are on target,Shots on target per 90 minutes,Goals per shot,Average Shot Distance,Passes Completed,Pass Completion Percentage,Total Passing Distance,Passes Completion Percentage (Short),Passes Completion Percentage (Medium),Passes Completion Percentage (Long),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes in Expected,Shot-Creating Actions,Shot-Creating Actions per 90 minutes,Goal-Creating Actions,Goal-Creating Actions per 90 minutes,Tackles,Tackles Won,Dribblers Tackled,Dribbles Challenged,Blocks,Shots Blocked,Passes Blocked,Interceptions,Touches,Touches(Defensive Penalty Area),Touches(Defensive Third),Touches(Mid Third),Touches(Attacking Third),Touches(Attacking Penalty Area),Take-Ons Attempted(Take-Ons),Percentage of Take-Ons Completed Successfully,Tackled During Take-Ons Percentage,Carries,Progressive Carrying Distance,Progressive Carries in Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received in Receiving,Fouls Committed,Fouls Drawn,Offsides,Crosses,Ball Recoveries,Aerials Won,Aerials Lost,Aerials Won Percentage,Transfer Fee
Martin Dúbravka,SVK,Newcastle Utd,GK,36-107,10,10,900,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1.20,70.7,50.0,N/a,N/a,0.0,N/a,N/a,265,79.6,5932,100.0,100.0,40.2,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,350,262,337,14,0,0,0,N/a,N/a,202,643,0,0,0,0,0,175,0,0,1,0,0,18,4,0,100.0,€1.3M
Martin Ødegaard,NOR,Arsenal,MF,26-136,26,23,"2,040",2,6,4,0,4.4,4.6,79,231,142,0.09,0.26,0.2,0.2,N/a,N/a,N/a,N/a,31.7,0.57,0.02,18.7,1099,82.6,17070,90.3,87.1,53.0,56,115,78,5,231,112,4.95,13,0.57,19,11,24,20,4,0,4,4,1494,6,98,625,785,104,54,40.7,55.6,1031,3279,79,72,23,28,38,1188,142,10,20,1,80,86,8,7,53.3,€126.5M
Mateus Fernandes,POR,Southampton,MF,20-296,32,30,"2,584",2,3,8,0,3.7,2.6,72,130,99,0.07,0.1,0.13,0.09,N/a,N/a,N/a,N/a,36.8,0.49,0.05,18.6,977,79.7,16522,87.9,85.4,54.9,30,89,21,4,130,68,2.37,6,0.21,81,43,61,31,39,5,34,21,1577,57,336,774,503,45,96,44.8,45.8,814,2926,72,65,8,50,33,976,99,40,52,3,102,162,13,9,59.1,€22.5M
Matheus Cunha,BRA,Wolves,"MF,FW",25-340,29,26,"2,341",15,6,3,0,7.9,7.3,103,129,144,0.58,0.23,0.3,0.28,N/a,N/a,N/a,N/a,42.1,1.54,0.16,20.6,727,72.0,11575,85.3,75.8,45.6,51,88,54,10,129,117,4.5,16,0.62,35,21,35,24,19,1,18,16,1393,22,171,643,627,113,126,45.2,43.7,800,3062,103,88,35,70,47,939,144,39,69,8,120,120,10,27,27.0,€62.6M
Matheus Nunes,POR,Manchester City,"DF,MF",26-248,23,16,"1,404",1,5,4,0,0.9,4.2,56,66,151,0.06,0.32,0.06,0.27,N/a,N/a,N/a,N/a,42.9,0.19,0.14,18.3,885,86.5,13810,91.4,88.7,66.2,21,43,25,7,66,39,2.5,6,0.38,28,18,31,18,14,3,11,12,1166,35,207,442,522,53,33,45.5,39.4,717,1991,56,26,22,27,11,842,151,28,14,6,37,57,13,15,46.4,€42.3M
Matt Doherty,IRL,Wolves,DF,33-106,27,22,"1,901",2,1,6,0,1.0,1.5,29,75,39,0.09,0.05,0.05,0.07,N/a,N/a,N/a,N/a,30.0,0.14,0.20,11.4,974,82.6,18234,90.1,86.7,62.4,11,87,14,1,75,24,1.14,3,0.14,36,20,22,7,26,15,11,21,1394,115,542,690,179,25,20,55.0,30.0,730,2034,29,19,4,11,5,883,39,18,11,2,18,98,48,19,71.6,€4.2M
Matthijs de Ligt,NED,Manchester Utd,DF,25-263,28,24,"2,089",2,0,3,0,2.5,0.3,7,55,6,0.09,0.0,0.11,0.01,N/a,N/a,N/a,N/a,50.0,0.39,0.11,7.9,1225,90.1,21549,94.1,94.5,50.5,6,63,2,1,55,14,0.6,1,0.04,30,22,32,9,29,21,8,33,1584,181,813,722,56,29,4,50.0,50.0,1063,2219,7,3,0,5,3,1142,6,16,12,2,6,66,57,29,66.3,€52.2M
Matty Cash,POL,Aston Villa,DF,27-268,23,20,"1,710",1,1,6,0,0.3,1.1,44,38,70,0.05,0.05,0.02,0.06,N/a,N/a,N/a,N/a,40.0,0.21,0.10,19.0,607,78.6,10099,89.7,79.8,49.4,10,36,8,4,38,22,1.16,2,0.11,46,26,33,10,17,6,11,21,963,70,350,382,242,37,32,46.9,43.8,479,1576,44,33,4,17,6,547,70,24,15,1,30,61,17,19,47.2,€32.9M
Matz Sels,BEL,Nott'ham Forest,GK,33-065,34,34,"3,060",0,0,3,0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,1.21,73.8,38.2,0.0,N/a,0.0,N/a,N/a,454,50.5,17284,100.0,97.8,36.6,1,39,2,0,1,6,0.18,0,0.0,1,1,1,0,0,0,0,0,990,757,975,15,0,0,0,N/a,N/a,483,1485,0,0,0,0,0,383,0,0,10,0,0,11,14,2,87.5,€9.1M
Max Kilman,ENG,West Ham,DF,27-344,34,34,"2,988",0,1,4,0,1.4,1.2,29,106,6,0.0,0.03,0.04,0.04,N/a,N/a,N/a,N/a,18.2,0.06,0.00,8.4,1511,86.9,29227,92.2,92.8,58.4,16,100,4,0,106,28,0.84,3,0.09,30,17,23,4,55,37,18,37,2113,428,1178,848,103,30,20,70.0,10.0,1119,2917,29,12,2,16,2,1404,6,17,12,2,3,135,101,48,67.8,€36.7M
Maxence Lacroix,FRA,Crystal Palace,DF,25-026,31,31,"2,756",1,1,5,0,2.8,0.8,8,59,7,0.03,0.03,0.09,0.02,N/a,N/a,N/a,N/a,20.0,0.16,0.04,11.8,1093,81.9,22521,85.3,90.9,55.3,6,66,2,1,59,26,0.85,4,0.13,67,40,47,15,41,16,25,50,1737,314,1060,612,72,36,13,61.5,23.1,931,1946,8,4,0,21,3,1024,7,31,18,1,6,121,54,44,55.1,€27.7M
Micky van de Ven,NED,Tottenham,DF,24-013,12,11,950,0,2,4,0,0.6,1.2,8,51,1,0.0,0.19,0.05,0.11,N/a,N/a,N/a,N/a,33.3,0.19,0.00,11.1,706,91.0,13313,91.7,96.5,62.5,2,50,1,0,51,11,1.04,2,0.19,10,6,14,6,9,6,3,10,862,101,442,393,36,9,8,50.0,50.0,599,1388,8,10,1,5,4,629,1,10,8,0,0,61,19,18,51.4,€61.8M
Mikel Merino,ESP,Arsenal,"MF,FW",28-314,25,15,"1,401",6,2,2,0,4.4,1.9,9,61,86,0.39,0.13,0.28,0.12,N/a,N/a,N/a,N/a,37.5,0.77,0.19,10.5,412,77.9,5686,87.0,78.3,53.3,15,33,24,4,61,39,2.51,4,0.26,38,22,29,14,17,5,12,13,709,35,127,300,291,72,17,41.2,35.3,349,638,9,12,4,21,22,460,86,35,20,7,12,76,57,52,52.3,€40.5M
Mikkel Damsgaard,DEN,Brentford,"MF,FW",24-303,34,30,"2,578",2,10,2,0,2.6,7.7,63,208,117,0.07,0.35,0.09,0.27,N/a,N/a,N/a,N/a,21.9,0.24,0.06,17.5,981,72.9,16868,85.6,73.2,53.6,57,149,66,17,208,112,3.91,21,0.73,74,41,70,43,34,2,32,25,1657,34,303,754,622,70,90,52.2,35.6,942,2666,63,42,9,53,43,1098,117,17,26,6,122,156,12,25,32.4,€28.6M
